file_type|column_name|column_type|column_length|encoding|sort_key|dist_key|null|system_column|identity_column|default_column
TBMZB_INDIVIDUAL_A_tmp|hh_insured_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_addr1|varchar|40|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_addr2|varchar|40|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_city_name|varchar|60|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_state_cd|varchar|15|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_zip_cd|varchar|10|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|sec_zip4_cd|varchar|4|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_fips_cd|varchar|5|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_fips_state_cd|varchar|2|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_fips_county_cd|varchar|3|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_mailability_score|varchar|2|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_mail_valid_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_county_name|varchar|50|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_sic_code|varchar|6|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_line_of_travel|varchar|5|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_carrier_route|varchar|4|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_delivery_point|varchar|12|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|secaddr_vacant_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ok_to_mail_ind_scndry|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|indiv_level_match_score|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|household_level_match_score|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ln_address_avail_ind|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_INDIVIDUAL_A_tmp|ig_individualid|varchar|1|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|MZB_INDIV_ID|numeric(10, 0)|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|MZB_HOUSEHOLD_ID|int|NA|ZSTD|n|n|y|n|n|n
TBMZB_EMAIL_INTERACTIONS_tmp|MZB_ADDRESS_ID|int|NA|ZSTD|n|n|y|n|n|n
